symbol,pvalue,gene,heat
ANXA5,1,9606.ENSP00000296511,0
ANXA6,0.000100802033893288,9606.ENSP00000346550,3.99653070499644
ANXA7,0.00790412154043851,9606.ENSP00000362010,2.10214639029088
AOAH,0.00055859261391511,9606.ENSP00000479664,3.25290481112896
AP1B1,0.693024675539244,9606.ENSP00000350199,0.159251301809915
AP1G1,0.150694975311958,9606.ENSP00000377148,0.821901228313573
AP1G2,0.0094653186497451,9606.ENSP00000312442,2.02386476093985
AP1M1,0.123000068041836,9606.ENSP00000388996,0.91009464831519
AP1S1,0.941612159137995,9606.ENSP00000336666,0.0261279420375603
AP2A1,0.163142876198766,9606.ENSP00000351926,0.787431885376644
AP2A2,0.534489230841515,9606.ENSP00000327694,0.272061040751221
AP2B1,0.379853140445194,9606.ENSP00000482835,0.420384278704528
AP2M1,0.00437904550416524,9606.ENSP00000292807,2.35862054188136
AP2S1,0.99275563847266,9606.ENSP00000263270,0.00315763763037649
AP3B1,0.340107113258975,9606.ENSP00000255194,0.468384284807015
AP3D1,0.0457028371805462,9606.ENSP00000347416,1.34005683858204
AP3M1,0.545706179129675,9606.ENSP00000347408,0.263041128594117
AP3S1,0.69103803075261,9606.ENSP00000325369,0.160498050901482
AP4E1,0.549169657448318,9606.ENSP00000261842,0.260293466276503
AP5B1,0.826312736964245,9606.ENSP00000454303,0.0828555528823613
AP5Z1,0.590330275160955,9606.ENSP00000297562,0.228904943361596
APAF1,0.361004581267463,9606.ENSP00000448165,0.442487286718844
APBA1,0.98465105691296,9606.ENSP00000265381,0.00671764859508678
APBB1IP,0.00943136281733105,9606.ENSP00000365411,2.02542554784773
APBB2,0.000101399503535937,9606.ENSP00000427211,3.99396417135506
APEH,0.524099885558115,9606.ENSP00000296456,0.28058593512947
APEX1,1,9606.ENSP00000216714,0
API5,1,9606.ENSP00000431391,0
APIP,0.58226382337529,9606.ENSP00000379133,0.234880192197582
APMAP,0.199986774775308,9606.ENSP00000217456,0.698998723496101
APOBEC1,1,9606.ENSP00000229304,0
APOBR,0.19140379407395,9606.ENSP00000457539,0.718049457734467
APOE,0.0227132671191388,9606.ENSP00000252486,1.64372039155038
APOO,0.169201312251815,9606.ENSP00000368528,0.771596273084748
APOOL,1,9606.ENSP00000362268,0
APP,0.56629084319315,9606.ENSP00000284981,0.246960460769442
APPL1,0.00675382865256368,9606.ENSP00000288266,2.17044996179212
APPL2,0.105555425857265,9606.ENSP00000263574,0.976519437777402
APRT,0.97529213000818,9606.ENSP00000367615,0.0108652802523849
APTX,0.843549179133594,9606.ENSP00000400806,0.0738895928570285
AQR,0.69311217526129,9606.ENSP00000156471,0.159196472235936
ARAF,0.204189550818594,9606.ENSP00000290277,0.689966486235089
ARAP1,0.0591561679685438,9606.ENSP00000377233,1.2279999665889
ARAP2,1,9606.ENSP00000302895,0
ARCN1,0.279685253480588,9606.ENSP00000264028,0.553330431379064
ARF1,1,9606.ENSP00000440005,0
ARF2,1,9606.ENSP00000306010,0
