Protein,Cyto - Endo,Cyto - GalT,Cyto - LAMP1,Cyto - LAMTOR1,Cyto - PM
P78537,-0.0673745592091755,0.570589669334802,-1.13998416860521,-1.36524407381349,0.560259955386325
P98172,0.144585439092402,-1.91751635137044,0.440746015298291,-0.198400831343654,-3.21681151198619
Q00587,-0.152351961868299,-0.46436919064121,0.108230177051068,-0.26453776009951,-1.61960938810771
Q01970,0.127925639703703,-0.453030255793442,0.51318242140938,0.400214157078759,-1.68362927576019
Q04721,0.170003327899791,-1.1231396111173,1.19527414024781,0.264770773146025,-2.24723333590161
Q05682,-0.0142765970470867,0.242097752712769,0.241494697788035,0.541573611691191,-1.18660146885321
Q08378,0.0259982291183014,-2.17670353388583,0.272848082796301,-0.605089567221777,0.773496845717812
Q08722,-0.552817606038251,-1.15490188246303,-0.819251877377666,-1.21060652588973,-2.57208382667323
Q0VGL1,-0.904961767454855,0.0483744665570344,-4.00293126589416,-3.54751966379375,-0.836572713164976
Q12959,0.284857821415813,-0.760377590084087,0.744881441777369,0.276221010377991,-1.91914276185799
Q13433,-0.237370655600501,-2.27685009184602,-0.897300827720897,-0.486505098109772,-3.42878191544849
Q13439,0.186412215305778,-2.06197967826413,1.34439929637773,-0.320414361095466,1.44471872904217
Q13813,0.116161385633245,-0.56427852135621,0.264527717889923,0.146354319514957,-1.58445757883189
Q14118,0.118801814677024,-1.78906001470633,0.339044735178724,-0.361061511730843,-3.21996690373344
Q14126,0.0198673945202575,-0.766131920463476,0.0843101902063016,-0.0423403941015869,-2.0849754919426
Q14168,-0.0202005290488542,-0.518841698550888,-0.23125825440601,0.0530964787945569,-1.78331863147701
Q14254,-0.267878594640123,-1.19622095590662,-4.56361957044681,-1.44465059773124,-1.32298628014671
Q14457,-0.779552526815666,0.313587485290168,-0.489148433807255,-1.05259327415667,0.275032073597479
Q14651,0.0825864423943678,-1.10819508325115,0.540146934089857,0.0520551994844458,-2.05836702996514
Q14677,-0.778624016312732,-0.279414877323087,-0.0959331904321649,-1.40168979131582,0.661585226807546
Q14789,0.131251639454155,-2.03555187805169,1.05856003708777,-0.588013062170034,1.72457145927424
Q15075,-2.9692868858473,-0.635499439111344,-0.131616064617511,-1.70711009959948,0.325486483840667
Q1MSJ5,0.202264870521957,0.170023762398512,1.90667770022091,-1.17551910697293,0.846799555448746
Q4KMP7,0.118046796628801,-0.402051747757987,0.745905343396424,0.185156238735102,-1.67906081101631
Q4KWH8,0.225713402288657,-0.598398742590188,0.0997282139710343,-0.0854439573587656,-1.66408378722531
Q562E7,-0.349721001910266,0.239540245228545,-1.28098416714814,-1.08951634455248,0.427360995659712
